Academic Quarter,School,Subject,Class Level,Average Score
Spring,Sciences,Mathematics,102,88
Spring,Sciences,Mathematics,103,81
Spring,Sciences,Mathematics,104,80
Summer,Sciences,Mathematics,101,85
Summer,Sciences,Mathematics,102,85
Summer,Sciences,Mathematics,103,83
Summer,Sciences,Mathematics,104,81
Autumn,Sciences,Oceanography,101,88
Autumn,Sciences,Oceanography,102,90
Autumn,Sciences,Oceanography,103,92
Autumn,Sciences,Oceanography,104,88
Winter,Sciences,Oceanography,101,91
Winter,Sciences,Oceanography,102,91
Winter,Sciences,Oceanography,103,90
Winter,Sciences,Oceanography,104,94
Spring,Sciences,Oceanography,101,89
Spring,Sciences,Oceanography,102,93
Spring,Sciences,Oceanography,103,94
Spring,Sciences,Oceanography,104,94
Summer,Sciences,Oceanography,101,95
Summer,Sciences,Oceanography,102,93
Summer,Sciences,Oceanography,103,93
Summer,Sciences,Oceanography,104,93
Autumn,Arts,Physical Education,101,98
Autumn,Arts,Physical Education,102,97
Autumn,Arts,Physical Education,103,98
Autumn,Arts,Physical Education,104,97
Winter,Arts,Physical Education,101,93
Winter,Arts,Physical Education,102,99
Winter,Arts,Physical Education,103,96
Winter,Arts,Physical Education,104,95
Spring,Arts,Physical Education,101,91
Spring,Arts,Physical Education,102,92
Spring,Arts,Physical Education,103,95
Spring,Arts,Physical Education,104,97
Summer,Arts,Physical Education,101,92
Summer,Arts,Physical Education,102,94
Summer,Arts,Physical Education,103,92
Summer,Arts,Physical Education,104,91
Autumn,Sciences,Quantum Physics,101,78
Autumn,Sciences,Quantum Physics,102,85
Autumn,Sciences,Quantum Physics,103,76
Autumn,Sciences,Quantum Physics,104,84
Winter,Sciences,Quantum Physics,101,75
Winter,Sciences,Quantum Physics,102,83
Winter,Sciences,Quantum Physics,103,76
Winter,Sciences,Quantum Physics,104,76
Spring,Sciences,Quantum Physics,101,80
Spring,Sciences,Quantum Physics,102,76
Spring,Sciences,Quantum Physics,103,84
Spring,Sciences,Quantum Physics,104,81
Summer,Sciences,Quantum Physics,101,83
Summer,Sciences,Quantum Physics,102,79
Summer,Sciences,Quantum Physics,103,80
Summer,Sciences,Quantum Physics,104,82
Autumn,Arts,Sociology,101,96
Autumn,Arts,Sociology,102,92
Autumn,Arts,Sociology,103,98
Autumn,Arts,Sociology,104,98
Winter,Arts,Sociology,101,95
Winter,Arts,Sociology,102,99
Winter,Arts,Sociology,103,97
Winter,Arts,Sociology,104,94
Spring,Arts,Sociology,101,95
Spring,Arts,Sociology,102,92
Spring,Arts,Sociology,103,99
Spring,Arts,Sociology,104,98
Summer,Arts,Sociology,101,97
Summer,Arts,Sociology,102,91
Summer,Arts,Sociology,103,92
Summer,Arts,Sociology,104,91
Autumn,Sciences,Zoology,101,90
Autumn,Sciences,Zoology,102,95
Autumn,Sciences,Zoology,103,87
Autumn,Sciences,Zoology,104,94
Winter,Sciences,Zoology,101,94
Winter,Sciences,Zoology,102,90
Winter,Sciences,Zoology,103,88
Winter,Sciences,Zoology,104,93
Spring,Sciences,Zoology,101,86
Spring,Sciences,Zoology,102,93
Spring,Sciences,Zoology,103,93
Spring,Sciences,Zoology,104,91
Summer,Sciences,Zoology,101,90
Summer,Sciences,Zoology,102,94
Summer,Sciences,Zoology,103,92
Summer,Sciences,Zoology,104,89
